Country,Emissions,1 Year Change,Population,Per capita,Share of world,latitude,longitude
Chad,1670941 tons,2.14%,"1,45,61,660",0.11,0.00%,15.454166,18.732207
Mali,1606421 tons,2.57%,"1,79,65,443",0.09,0.00%,17.570692,-3.996166
Barbados,1541447 tons,1.88%,"2,85,796",5.39,0.00%,13.193887,-59.543198
Djibouti,1508851 tons,2.97%,"9,29,112",1.62,0.00%,11.825138,42.590275
French Guiana,1473719 tons,1.73%,"2,67,821",5.5,0.00%,3.933889,-53.125782
Rwanda,1403087 tons,2.88%,"1,16,68,827",0.12,0.00%,-1.940278,29.873888
Sierra Leone,1272332 tons,3.43%,"73,28,834",0.17,0.00%,8.460555,-11.779889
Somalia,1268442 tons,2.57%,"1,41,85,636",0.09,0.00%,5.152149,46.199616
Maldives,1233015 tons,7.19%,"4,75,512",2.59,0.00%,3.202778,73.22068
Réunion,1132331 tons,3.55%,"8,69,743",1.3,0.00%,-21.115141,55.536384
Belize,1114105 tons,1.51%,"3,68,400",3.02,0.00%,17.189877,-88.49765
Burundi,1093618 tons,2.81%,"1,04,87,995",0.1,0.00%,-3.373056,29.918886
French Polynesia,1003249 tons,7.18%,"2,74,575",3.65,0.00%,-17.679742,-149.406843
Liberia,846658 tons,3.49%,"45,86,787",0.18,0.00%,6.428055,-9.429499
Puerto Rico,712758 tons,1.71%,"32,83,125",0.22,0.00%,18.220833,-66.590149
Eritrea,684140 tons,4.79%,"33,76,557",0.2,0.00%,15.179384,39.782334
Swaziland,657572 tons,2.61%,"11,13,997",0.59,0.00%,-26.522503,31.465866
Bermuda,639352 tons,1.51%,"63,362",10.09,0.00%,32.321384,-64.75737
Saint Lucia,608182 tons,1.51%,"1,80,024",3.38,0.00%,13.909444,-60.978893
Gibraltar,572708 tons,3.53%,"33,737",16.98,0.00%,36.137741,-5.345374
Grenada,554848 tons,1.51%,"1,10,261",5.03,0.00%,12.262776,-61.604171
Central African Republic,543229 tons,2.57%,"45,37,686",0.12,0.00%,6.611111,20.939444
Seychelles,519693 tons,2.62%,"95,710",5.43,0.00%,-4.679574,55.491977
Timor-Leste,495687 tons,4.63%,"12,19,288",0.41,0.00%,-8.874217,125.727539
Antigua and Barbuda,438763 tons,1.51%,"94,527",4.64,0.00%,17.060816,-61.796428
Cayman Islands,406057 tons,1.52%,"62,569",6.49,0.00%,19.513469,-80.566956
St. Vincent & Grenadines,362414 tons,1.51%,"1,09,459",3.31,0.00%,12.984305,-61.287228
Solomon Islands,341748 tons,7.18%,"6,19,438",0.55,0.00%,-9.64571,160.156194
Guinea-Bissau,318706 tons,2.59%,"17,82,438",0.18,0.00%,11.803749,-15.180413
Lesotho,318438 tons,2.58%,"20,75,030",0.15,0.00%,-29.609988,28.233608
Aruba,286871 tons,1.51%,"1,04,872",2.74,0.00%,12.52111,-69.968338
Gambia,254127 tons,2.59%,"21,49,136",0.12,0.00%,13.443182,-15.310139
Tonga,251375 tons,7.19%,"1,01,133",2.49,0.00%,-21.178986,-175.198242
Western Sahara,207592 tons,2.61%,"5,38,749",0.39,0.00%,24.215527,-12.885834
Saint Kitts & Nevis,203036 tons,1.51%,"51,625",3.93,0.00%,17.357822,-62.782998
Dominica,185767 tons,1.51%,"71,307",2.61,0.00%,15.414999,-61.370976
Samoa,169939 tons,7.18%,"1,94,535",0.87,0.00%,-13.759029,-172.104629
Vanuatu,137706 tons,7.18%,"2,78,330",0.49,0.00%,-15.376706,166.959158
Comoros,108422 tons,2.58%,"7,95,592",0.14,0.00%,-11.875001,43.872219
British Virgin Islands,99762 tons,1.51%,"29,355",3.4,0.00%,18.420695,-64.639968
Cape Verde,99687 tons,2.59%,"5,31,146",0.19,0.00%,16.002082,-24.013197
Turks & Caicos Islands,65451 tons,1.52%,"36,559",1.79,0.00%,21.694025,-71.797928
São Tomé and Príncipe,56185 tons,2.60%,"2,03,227",0.28,0.00%,0.18636,6.613081
Kiribati,52818 tons,7.18%,"1,12,524",0.47,0.00%,-3.370417,-168.734039
Falkland Islands,48568 tons,1.51%,"2,928",16.59,0.00%,-51.796253,-59.523613
Palau,41732 tons,7.19%,"17,725",2.35,0.00%,7.51498,134.58252
Cook Islands,37354 tons,7.19%,"17,524",2.13,0.00%,-21.236736,-159.777671
Anguilla,30262 tons,1.52%,"14,429",2.1,0.00%,18.220554,-63.068615
Saint Helena,13128 tons,2.62%,"5,956",2.2,0.00%,-24.143474,-10.030696
Saint Pierre & Miquelon,8842 tons,1.51%,"5,934",1.49,0.00%,46.941936,-56.27111
Faroe Islands,1953 tons,0.60%,"48,173",0.04,0.00%,61.892635,-6.911806
Greenland,1530 tons,0.86%,"56,412",0.03,0.00%,71.706936,-42.604303
