Line;Name;names.bridges;latitude;longitude;bridge_part;material ;condition;year_1;year_2;year_3;year_4;year_5;year_6;year_7;year_8;year_9;year_10;year_11;year_12;year_13;year_14;year_15
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;bearings;concrete;1.00;0.83;0.69;0.57;0.47;0.38;0.31;0.25;0.20;0.17;0.00;0.01;0.03;0.05;0.08;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;bearings;concrete;0.00;0.15;0.24;0.29;0.31;0.32;0.31;0.29;0.26;0.23;0.00;0.00;0.00;0.01;0.02;
260;PU Oberfeldweg;PU Oberfeldweg;47.07289481;7.308524616;bearings;concrete;0.00;0.02;0.07;0.14;0.21;0.30;0.38;0.46;0.53;0.60;0.00;0.00;0.00;0.00;0.00;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;abutment;concrete;1.00;0.81;0.66;0.53;0.43;0.35;0.28;0.23;0.19;0.15;0.12;0.10;0.08;0.06;0.05;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;abutment;concrete;0.00;0.19;0.33;0.44;0.51;0.56;0.59;0.61;0.61;0.61;0.60;0.59;0.57;0.55;0.53;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;abutment;concrete;0.00;0.00;0.01;0.03;0.06;0.08;0.11;0.13;0.16;0.18;0.20;0.21;0.23;0.24;0.25;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.09;0.10;0.11;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.04;0.05;0.06;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;bearings;concrete;1.00;0.81;0.66;0.53;0.43;0.35;0.28;0.23;0.19;0.15;0.12;0.10;0.08;0.06;0.05;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;bearings;concrete;0.00;0.19;0.33;0.44;0.51;0.56;0.59;0.61;0.61;0.61;0.60;0.59;0.57;0.55;0.53;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;bearings;concrete;0.00;0.00;0.01;0.03;0.06;0.08;0.11;0.13;0.16;0.18;0.20;0.21;0.23;0.24;0.25;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.09;0.10;0.11;
260;PU Studen Station;PU Studen Station;47.11155641;7.300091914;bearings;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.02;0.03;0.04;0.05;0.06;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.86;0.78;0.70;0.63;0.57;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;abutment;concrete;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.20;0.25;0.29;0.32;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;abutment;concrete;1.00;0.83;0.69;0.57;0.47;0.38;0.31;0.25;0.20;0.17;0.01;0.02;0.04;0.06;0.09;
260;PU Suberg;PU Suberg;47.05887829;7.339414412;abutment;concrete;0.00;0.15;0.24;0.29;0.31;0.31;0.30;0.28;0.25;0.22;0.00;0.00;0.01;0.01;0.02;
